S. No.,CNTX,Circle,BA,SITE ID,Site Name,Type of Node,ABR/Non-ABR,GW,Router ID,Area ID - 1,BGP Role - 1,Management IP - Loopback 1,Service IP - Loopback 2,Area ID - 2,BGP Role - 2,Management IP - Loopback 3,Service IP - Loopback 4,Area ID - 3,BGP Role - 3,Management IP - Loopback 5,Service IP - Loopback 6,Area ID - 4,BGP Role - 4,Management IP - Loopback 7,Service IP - Loopback 8,ASN
1,North,Punjab Area,Chandigarh,PB-CHD-C01-CH-9003,"CHD SEC 17-I CNN
C1
",C01,Non-ABR,Yes,10.125.4.1,1,RR,10.125.4.1,10.125.6.1,,,,,,,,,,,,,65104
2,North,Punjab Area,Chandigarh,PB-CHD-C01-CH-9005,CHD SEC 34 C1,C01,Non-ABR,,10.125.4.2,1,Client,10.125.4.100,10.125.6.2,,,,,,,,,,,,,65104
3,North,Punjab Area,Chandigarh,PB-CHD-C01-CH-9007,CHD SEC 49-II C1,C01,Non-ABR,,10.125.4.3,1,Client,10.125.4.3,10.125.6.3,,,,,,,,,,,,,65104
4,North,Punjab Area,Chandigarh,PB-CHD-C01-RA-9012,RAMDARBAR C1,C01,Non-ABR,Yes,10.125.4.4,1,RR,10.125.4.4,10.125.6.4,,,,,,,,,,,,,65104
5,North,Punjab Area,Chandigarh,PB-CHD-C01-CH-9004,CHD SEC 17-II Tx C1,C01,ABR,,10.125.4.5,1,Client,10.125.4.5,10.125.6.5,8,RR,10.125.4.177,10.125.6.177,,,,,,,,,65104
6,North,Punjab Area,Chandigarh,PB-CHD-C01-CH-9006,CHD SEC 49-I C1,C01,ABR,,10.125.4.6,1,Client,10.125.4.6,10.125.6.6,11,RR,10.125.4.225,10.125.6.225,,,,,,,,,65104
7,North,Punjab Area,Chandigarh,PB-CHD-C01-MA-9008,MANI MAJRA C1,C01,ABR,,10.125.4.7,1,Client,10.125.4.7,10.125.6.7,10,RR,10.125.4.209,10.125.6.209,,,,,,,,,65104
8,North,Punjab Area,Chandigarh,PB-CHD-C01-MO-9009,MOHALI PHASE IV C1,C01,ABR,,10.125.4.8,1,Client,10.125.4.8,10.125.6.8,6,RR,10.125.4.145,10.125.6.145,,,,,,,,,65104
9,North,Punjab Area,Chandigarh,PB-CHD-C01-MO-9010,MOHALI SEC 65 C1,C01,ABR,,10.125.4.9,1,Client,10.125.4.9,10.125.6.9,4,RR,10.125.4.97,10.125.6.97,,,,,,,,,65104
10,North,Punjab Area,Chandigarh,PB-CHD-C01-PC-9011,PKL SEC 5 C1,C01,ABR,,10.125.4.10,1,Client,10.125.4.10,10.125.6.10,9,RR,10.125.4.193,10.125.6.193,,,,,,,,,65104
11,North,Punjab Area,Chandigarh,PB-CHD-C01-RO-9001,ROPAR CNN C1,C01,ABR,,10.125.4.11,1,Client,10.125.4.11,10.125.6.11,2,RR,10.125.4.33,10.125.6.33,,,,,,,,,65104
