Site ID,Router ID,Area,Type,Loopback Number,IP Address,BGP Role
PB-CHD-C01-CH-9003,10.125.4.1,1.0,Management,1,10.125.4.1,RR
PB-CHD-C01-CH-9003,10.125.4.1,1.0,Service,2,10.125.6.1,RR
PB-CHD-C01-CH-9005,10.125.4.2,1.0,Management,1,10.125.4.100,Client
PB-CHD-C01-CH-9005,10.125.4.2,1.0,Service,2,10.125.6.2,Client
PB-CHD-C01-CH-9007,10.125.4.3,1.0,Management,1,10.125.4.3,Client
PB-CHD-C01-CH-9007,10.125.4.3,1.0,Service,2,10.125.6.3,Client
PB-CHD-C01-RA-9012,10.125.4.4,1.0,Management,1,10.125.4.4,RR
PB-CHD-C01-RA-9012,10.125.4.4,1.0,Service,2,10.125.6.4,RR
PB-CHD-C01-CH-9004,10.125.4.5,1.0,Management,1,10.125.4.5,Client
PB-CHD-C01-CH-9004,10.125.4.5,1.0,Service,2,10.125.6.5,Client
PB-CHD-C01-CH-9004,10.125.4.5,8.0,Management,3,10.125.4.177,RR
PB-CHD-C01-CH-9004,10.125.4.5,8.0,Service,4,10.125.6.177,RR
PB-CHD-C01-CH-9006,10.125.4.6,1.0,Management,1,10.125.4.6,Client
PB-CHD-C01-CH-9006,10.125.4.6,1.0,Service,2,10.125.6.6,Client
PB-CHD-C01-CH-9006,10.125.4.6,11.0,Management,3,10.125.4.225,RR
PB-CHD-C01-CH-9006,10.125.4.6,11.0,Service,4,10.125.6.225,RR
PB-CHD-C01-MA-9008,10.125.4.7,1.0,Management,1,10.125.4.7,Client
PB-CHD-C01-MA-9008,10.125.4.7,1.0,Service,2,10.125.6.7,Client
PB-CHD-C01-MA-9008,10.125.4.7,10.0,Management,3,10.125.4.209,RR
PB-CHD-C01-MA-9008,10.125.4.7,10.0,Service,4,10.125.6.209,RR
PB-CHD-C01-MO-9009,10.125.4.8,1.0,Management,1,10.125.4.8,Client
PB-CHD-C01-MO-9009,10.125.4.8,1.0,Service,2,10.125.6.8,Client
PB-CHD-C01-MO-9009,10.125.4.8,6.0,Management,3,10.125.4.145,RR
PB-CHD-C01-MO-9009,10.125.4.8,6.0,Service,4,10.125.6.145,RR
PB-CHD-C01-MO-9010,10.125.4.9,1.0,Management,1,10.125.4.9,Client
PB-CHD-C01-MO-9010,10.125.4.9,1.0,Service,2,10.125.6.9,Client
PB-CHD-C01-MO-9010,10.125.4.9,4.0,Management,3,10.125.4.97,RR
PB-CHD-C01-MO-9010,10.125.4.9,4.0,Service,4,10.125.6.97,RR
PB-CHD-C01-PC-9011,10.125.4.10,1.0,Management,1,10.125.4.10,Client
PB-CHD-C01-PC-9011,10.125.4.10,1.0,Service,2,10.125.6.10,Client
PB-CHD-C01-PC-9011,10.125.4.10,9.0,Management,3,10.125.4.193,RR
